Hidden_Size,ESM_Dim,Gene,AUPRC,AUROC,Brier,ECE
64,100,TPM1,0.8802939470232957,0.6279234585400425,0.15594683572562737,0.10150669664938095
64,100,ACTC1,0.9217416163463846,0.7957142857142857,0.1328145846941891,0.10625756223104642
64,100,MYL2,0.799605109612242,0.7011128775834659,0.24929748841026633,0.22447266955180165
64,100,MYL3,0.7217256057340603,0.703030303030303,0.24423615561503506,0.24567337555438729
64,100,TNNC1,0.6838918952610825,0.3615384615384616,0.3124687805595285,0.34399618432438683
64,1280,MYH7,0.9046792067097533,0.7085655567577865,0.5614567060675072,0.6392401872645216
64,1280,MYBPC3,0.6358967288606305,0.6606001304631441,0.3336789518393613,0.3184915480911717
64,1280,TNNT2,0.9250795241957266,0.7790363178712693,0.1465121293920137,0.07141214865822973
64,1280,TNNI3,0.9485371146952495,0.7994897959183674,0.11554585379877759,0.07016451212950409
64,1280,TPM1,0.859666050937028,0.6024096385542168,0.13181771706168902,0.09929228117553812
64,1280,ACTC1,0.9185123196842206,0.7785714285714286,0.1382174452894938,0.1298020770359668
64,1280,MYL2,0.8557597297176927,0.7456279809220986,0.24271182632523847,0.21892438079820387
64,1280,MYL3,0.8103065928253275,0.7606060606060606,0.2450848279909659,0.22620415261030968
64,1280,TNNC1,0.8690362036423986,0.7038461538461538,0.21873802728946223,0.21445496879044512
128,50,MYH7,0.8603782556593506,0.5913548237824007,0.6683971696559616,0.7194833283237
128,50,MYBPC3,0.5737724752648593,0.609480321809089,0.350403685690085,0.34120219538417357
128,50,TNNT2,0.9248171904963105,0.7473930240920532,0.15244533523019568,0.06916514817333834
128,50,TNNI3,0.9505661718021337,0.823469387755102,0.11198787915217089,0.06325269432596985
128,50,TPM1,0.9045949496165893,0.6789510985116939,0.13046908073801894,0.0783638834784682
128,50,ACTC1,0.9458127632352362,0.84,0.125629506199621,0.10704143465018755
128,50,MYL2,0.8108083528169254,0.7011128775834659,0.2188811757440941,0.17308916189052348
128,50,MYL3,0.7877725401455347,0.7363636363636363,0.25993095256654564,0.23672555580569704
128,50,TNNC1,0.7465042888887067,0.4961538461538461,0.2782527097417696,0.24205790631840232
128,100,MYH7,0.8842291149520661,0.629653825476866,0.6616480478852265,0.7157767778389986
128,100,MYBPC3,0.7137758927115209,0.7034790171776473,0.294157512453012,0.26043759231763064
128,100,TNNT2,0.9248917268968735,0.7639338367493707,0.14628067242503456,0.08665036302136155
128,100,TNNI3,0.9236424348064136,0.7193877551020409,0.13077935938780674,0.03959573129897926
128,100,TPM1,0.900656648832288,0.6583982990786676,0.12891434932863038,0.06240330700871124
128,100,ACTC1,0.905144663460006,0.7714285714285714,0.13802885919896626,0.0773154259634294
128,100,MYL2,0.7898606325512307,0.685214626391097,0.2343758340345973,0.19957557270113166
128,100,MYL3,0.7968589700801185,0.6969696969696968,0.28888717911559086,0.28225256478186644
128,100,TNNC1,0.7471493437487068,0.4307692307692308,0.2795135472195741,0.2658339236850502
128,1280,MYH7,0.8829252921277828,0.6495757031351013,0.7050574212240078,0.7407036039176746
128,1280,MYBPC3,0.6284443822733019,0.6456186127419004,0.3638732265437913,0.35868559728406485
128,1280,TNNT2,0.9164415549965672,0.7322905429701545,0.16080118805546922,0.1017402965982143
128,1280,TNNI3,0.9509278940938137,0.7969387755102041,0.1290619154822011,0.07497395386312514
128,1280,TPM1,0.893185907194984,0.6782423812898654,0.126341864902545,0.09180954818926385
128,1280,ACTC1,0.9533512091520899,0.8814285714285713,0.13011647285006078,0.177128570059368
128,1280,MYL2,0.7956848566844608,0.7090620031796502,0.23417981231206542,0.21371712842945048
128,1280,MYL3,0.782924743170486,0.6636363636363637,0.3005440059963097,0.2986112066019736
128,1280,TNNC1,0.7607823339863281,0.5230769230769231,0.26838413356746565,0.2141993540820317
